tt0068646,"The Godfather",9.2,175,1972,"Crime,Drama"
tt0071562,"The Godfather: Part II",9,202,1974,"Crime,Drama"
tt0099674,"The Godfather: Part III",7.6,162,1990,"Crime,Drama"
tt0086250,"Scarface",8.3,170,1983,"Crime,Drama"
tt0106519,"Carlito's Way",7.9,144,1993,"Crime,Drama,Thriller"
tt0111161,"The Shawshank Redemption",9.3,142,1994,"Drama"
tt0114369,"Se7en",8.6,127,1995,"Crime,Drama,Mystery,Thriller"
tt0066921,"A Clockwork Orange",8.3,136,1971,"Crime,Drama,Sci-Fi"
tt0485947,"Mr. Nobody",7.9,141,2009,"Drama,Fantasy,Romance,Sci-Fi"
tt0050083,"12 Angry Men",8.9,96,1957,"Crime,Drama"
tt0034583,"Casablanca",8.5,102,1942,"Drama,Romance,War"
tt0072890,"Dog Day Afternoon",8,125,1975,"Biography,Crime,Drama,Thriller"
tt0073195,"Jaws",8,124,1975,"Adventure,Drama,Thriller"
tt0073486,"One Flew Over the Cuckoo's Nest",8.7,133,1975,"Drama"
tt0074958,"Network",8.1,121,1976,"Drama"
tt0075314,"Taxi Driver",8.3,114,1976,"Crime,Drama"
tt0075148,"Rocky",8.1,120,1976,"Drama,Sport"
tt0076759,"Star Wars",8.6,121,1977,"Action,Adventure,Fantasy,Sci-Fi"
tt0078788,"Apocalypse Now",8.5,147,1979,"Drama,War"
tt0079522,"Manhattan",8,96,1979,"Comedy,Drama,Romance"
tt0079501,"Mad Max",7,88,1979,"Action,Adventure,Sci-Fi,Thriller"
tt0079417,"Kramer vs. Kramer",7.8,105,1979,"Drama"
tt0078748,"Alien",8.5,116,1979,"Horror,Sci-Fi"
tt0081398,"Raging Bull",8.2,129,1980,"Biography,Drama,Sport"
tt0080684,"Star Wars: Episode V - The Empire Strikes Back",8.8,124,1980,"Action,Adventure,Fantasy,Sci-Fi"
tt0081505,"The Shining",8.4,146,1980,"Drama,Horror"
tt0082971,"Raiders of the Lost Ark",8.5,115,1981,"Action,Adventure"
tt0083987,"Gandhi",8.1,191,1982,"Biography,Drama,History"
tt0083866,"E.T. the Extra-Terrestrial",7.9,115,1982,"Family,Sci-Fi"
tt0084787,"The Thing",8.1,109,1982,"Horror,Mystery,Sci-Fi"
tt0086190,"Star Wars: Episode VI - Return of the Jedi",8.3,131,1983,"Action,Adventure,Fantasy,Sci-Fi"
tt0088247,"The Terminator",8,107,1984,"Action,Sci-Fi"
tt0086879,"Amadeus",8.3,160,1984,"Biography,Drama,History,Music"
tt0089869,"The Quiet Earth",6.8,91,1985,"Drama,Mystery,Sci-Fi"
tt0088939,"The Color Purple",7.8,154,1985,"Drama"
tt0088846,"Brazil",8,132,1985,"Drama,Sci-Fi"
tt0317248,"Cidade de Deus",8.6,130,2002,"Crime,Drama"
tt0094226,"The Untouchables",7.9,119,1987,"Crime,Drama,Thriller"
tt0095016,"Die Hard",8.2,132,1988,"Action,Thriller"
tt0095953,"Rain Man",8,133,1988,"Drama"
tt0096163,"Spoorloos",7.8,107,1988,"Mystery,Thriller"
tt0096895,"Batman",7.6,126,1989,"Action,Adventure"
tt0099487,"Edward Scissorhands",7.9,105,1990,"Drama,Fantasy,Romance"
tt0099685,"Goodfellas",8.7,146,1990,"Crime,Drama"
tt0103064,"Terminator 2: Judgment Day",8.5,137,1991,"Action,Sci-Fi"
tt0102926,"The Silence of the Lambs",8.6,118,1991,"Crime,Drama,Thriller"
tt0105695,"Unforgiven",8.2,130,1992,"Drama,Western"
tt0105236,"Reservoir Dogs",8.3,99,1992,"Crime,Drama,Thriller"
tt0108052,"Schindler's List",8.9,195,1993,"Biography,Drama,History"
tt0107290,"Jurassic Park",8.1,127,1993,"Adventure,Sci-Fi,Thriller"
tt0107818,"Philadelphia",7.7,125,1993,"Drama"
tt0110912,"Pulp Fiction",8.9,154,1994,"Crime,Drama"
tt0109830,"Forrest Gump",8.8,142,1994,"Drama,Romance"
tt0110357,"The Lion King",8.5,88,1994,"Animation,Adventure,Drama,Family,Musical"
tt0109831,"Four Weddings and a Funeral",7.1,117,1994,"Comedy,Drama,Romance"
tt0110632,"Natural Born Killers",7.3,118,1994,"Crime,Drama"
tt0112641,"Casino",8.2,178,1995,"Crime,Drama"
tt0114709,"Toy Story",8.3,81,1995,"Animation,Adventure,Comedy,Family,Fantasy"
tt0113277,"Heat",8.2,170,1995,"Crime,Drama,Thriller"
tt0117571,"Scream",7.2,111,1996,"Horror,Mystery"
tt0117951,"Trainspotting",8.2,94,1996,"Drama"
tt0116629,"Independence Day",7,145,1996,"Action,Adventure,Sci-Fi"
tt0118789,"Buffalo '66",7.5,110,1998,"Comedy,Crime,Drama,Romance"
tt0120815,"Saving Private Ryan",8.6,169,1998,"Drama,War"
tt0169547,"American Beauty",8.4,122,1999,"Drama"
tt0133093,"The Matrix",8.7,136,1999,"Action,Sci-Fi"
tt0167404,"The Sixth Sense",8.1,107,1999,"Drama,Mystery,Thriller"
tt0137523,"Fight Club",8.8,139,1999,"Drama"
tt0190332,"Wo hu cang long",7.9,120,2000,"Action,Adventure,Fantasy,Romance"
tt0209144,"Memento",8.5,113,2000,"Mystery,Thriller"
tt0180093,"Requiem for a Dream",8.3,102,2000,"Drama"
tt0172495,"Gladiator",8.5,155,2000,"Action,Adventure,Drama"
tt0120737,"The Lord of the Rings: The Fellowship of the Ring",8.8,178,2001,"Adventure,Drama,Fantasy"
