tt0068646,"The Godfather",9.2,175,1972,"Crime,Drama"
tt0071562,"The Godfather: Part II",9,202,1974,"Crime,Drama"
tt0099674,"The Godfather: Part III",7.6,162,1990,"Crime,Drama"
tt0086250,"Scarface",8.3,170,1983,"Crime,Drama"
tt0106519,"Carlito's Way",7.9,144,1993,"Crime,Drama,Thriller"
tt0111161,"The Shawshank Redemption",9.3,142,1994,"Drama"
tt0114369,"Se7en",8.6,127,1995,"Crime,Drama,Mystery,Thriller"
tt0066921,"A Clockwork Orange",8.3,136,1971,"Crime,Drama,Sci-Fi"
tt0485947,"Mr. Nobody",7.9,141,2009,"Drama,Fantasy,Romance,Sci-Fi"
tt0050083,"12 Angry Men",8.9,96,1957,"Crime,Drama"
tt0034583,"Casablanca",8.5,102,1942,"Drama,Romance,War"
tt0072890,"Dog Day Afternoon",8,125,1975,"Biography,Crime,Drama,Thriller"
tt0073195,"Jaws",8,124,1975,"Adventure,Drama,Thriller"
tt0073486,"One Flew Over the Cuckoo's Nest",8.7,133,1975,"Drama"
tt0074958,"Network",8.1,121,1976,"Drama"
tt0075314,"Taxi Driver",8.3,114,1976,"Crime,Drama"
tt0075148,"Rocky",8.1,120,1976,"Drama,Sport"
tt0076759,"Star Wars",8.6,121,1977,"Action,Adventure,Fantasy,Sci-Fi"
tt0078788,"Apocalypse Now",8.5,147,1979,"Drama,War"
tt0079522,"Manhattan",8,96,1979,"Comedy,Drama,Romance"
